Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
DATA ENGINEER,141877,SAN FRANCISCO CA,CA,02/15/2018,02,2018,07/18/2018,07,2018
DATA ENGINEER,153774,SAN FRANCISCO CA,CA,01/25/2018,01,2018,07/19/2018,07,2018
DATA INSIGHTS ANALYST,82763,SAN FRANCISCO CA,CA,02/10/2018,02,2018,07/09/2018,07,2018
DATA INSIGHTS ANALYST,89898,SAN FRANCISCO CA,CA,03/20/2018,03,2018,09/19/2018,09,2018
DATA SCIENCE ENGINEER,142168,SAN FRANCISCO CA,CA,06/26/2018,06,2018,11/23/2018,11,2018
DATA SCIENTIST EMPLOYEE SUCCESS,101587,SAN FRANCISCO CA,CA,03/12/2018,03,2018,09/11/2018,09,2018
DATA SCIENTIST MTS,126027,CAMBRIDGE MA,MA,02/07/2018,02,2018,02/19/2018,02,2018
DATA SCIENTIST SMTS,163134,SAN FRANCISCO CA,CA,10/12/2018,10,2018,10/15/2018,10,2018
DATA SCIENTIST SMTS,163134,SAN FRANCISCO CA,CA,10/24/2018,10,2018,11/05/2018,11,2018
DATA WAREHOUSE ENGINEER,91270,INDIANAPOLIS IN,IN,05/23/2018,05,2018,06/04/2018,06,2018
DATABASE ADMIN & OPS SENIOR,94598,SALT LAKE CITY UT,UT,09/18/2018,09,2018,03/12/2019,03,2019
DATABASE ADMINISTRATOR,74131,SALT LAKE CITY UT,UT,02/01/2018,02,2018,07/24/2018,07,2018
DATABASE ENGINEER,120140,SAN FRANCISCO CA,CA,08/07/2018,08,2018,01/29/2019,01,2019
DATABASE ENGINEER SENIOR,157706,SAN FRANCISCO CA,CA,09/12/2018,09,2018,09/24/2018,09,2018
DATABASE PERFORMANCE ENGINEER,122429,SAN FRANCISCO CA,CA,01/31/2018,01,2018,07/27/2018,07,2018
DELIVERY MANAGER,123552,MCLEAN VA,VA,06/20/2018,06,2018,07/02/2018,07,2018
DEMO ENGINEER,79580,SAN FRANCISCO CA,CA,03/09/2018,03,2018,07/10/2018,07,2018
DEMO ENGINEER,86445,SAN FRANCISCO CA,CA,01/25/2018,01,2018,07/10/2018,07,2018
DEVELOPMENT SUPPORT ENGINEER,55980,BURLINGTON MA,MA,03/14/2018,03,2018,08/16/2018,08,2018
DEVOPS ENGINEER,147597,SAN FRANCISCO CA,CA,10/18/2018,10,2018,10/29/2018,10,2018
DIGITAL ADVISOR SR DIRECTOR,135886,NEW YORK NY,NY,03/04/2018,03,2018,08/28/2018,08,2018
DIGITAL ANALYST,63773,INDIANAPOLIS IN,IN,03/23/2018,03,2018,09/22/2018,09,2018
DIGITAL ANALYST,63773,INDIANAPOLIS IN,IN,03/23/2018,03,2018,09/22/2018,09,2018
DIRECTOR OF PRODUCT MANAGEMENT SEARCH,133099,SAN FRANCISCO CA,CA,07/25/2018,07,2018,08/06/2018,08,2018
DIRECTOR OF PRODUCT MANAGEMENT SEARCH,193482,SAN FRANCISCO CA,CA,06/27/2018,06,2018,07/11/2018,07,2018
DIRECTOR OF PRODUCT MANAGEMENT SEARCH,227240,SAN FRANCISCO CA,CA,06/29/2018,06,2018,07/16/2018,07,2018
DIRECTOR OF SECURITY EVANGELISM,197288,SAN FRANCISCO CA,CA,03/05/2018,03,2018,08/10/2018,08,2018
DIRECTOR SECURITY CUSTOMER ADVOCACY,201094,SAN FRANCISCO CA,CA,08/10/2018,08,2018,08/27/2018,08,2018
DIRECTOR DATABASE ENGINEERING,201094,SAN FRANCISCO CA,CA,08/02/2018,08,2018,01/29/2019,01,2019
DIRECTOR INFRASTRUCTURE SECURITY,227240,SAN FRANCISCO CA,CA,02/15/2018,02,2018,08/05/2018,08,2018
DIRECTOR MARKETING OPERATIONS,134600,SAN FRANCISCO CA,CA,03/13/2018,03,2018,09/08/2018,09,2018
DIRECTOR MARKETING OPERATIONS,147035,SAN FRANCISCO CA,CA,10/12/2018,10,2018,11/01/2018,11,2018
DIRECTOR PRODUCT DATA SCIENCE,195187,SAN FRANCISCO CA,CA,02/27/2018,02,2018,08/24/2018,08,2018
DIRECTOR PRODUCT DATA SCIENCE,195187,SAN FRANCISCO CA,CA,01/09/2018,01,2018,06/18/2018,06,2018
DIRECTOR PRODUCT MANAGEMENT,195187,SAN FRANCISCO CA,CA,02/05/2018,02,2018,07/16/2018,07,2018
DIRECTOR PRODUCT MANAGEMENT,195187,SAN FRANCISCO CA,CA,04/25/2018,04,2018,05/07/2018,05,2018
DIRECTOR PRODUCT MANAGEMENT,201094,SAN FRANCISCO CA,CA,11/08/2018,11,2018,11/19/2018,11,2018
DIRECTOR PRODUCT MARKETING,181813,SAN FRANCISCO CA,CA,08/16/2018,08,2018,08/29/2018,08,2018
DIRECTOR PROGRAM ARCHITECT,184246,WOODLAND HILLS CA,CA,06/11/2018,06,2018,12/10/2018,12,2018
DIRECTOR SALES STRATEGY & OPERATIONS,133099,SAN FRANCISCO CA,CA,07/12/2018,07,2018,12/28/2018,12,2018
