Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
BUSINESS SYSTEMS ANALYST ,115000,SUNNYVALE CA,CA,03/10/2018,03,2018,03/14/2018,03,2018
BUSINESS SYSTEMS ANALYST ,135000,SUNNYVALE CA,CA,05/25/2018,05,2018,06/04/2018,06,2018
BUSINESS SYSTEMS ANALYST ,137000,SUNNYVALE CA,CA,08/09/2018,08,2018,08/16/2018,08,2018
BUSINESS SYSTEMS ANALYST ,134000,SUNNYVALE CA,CA,08/15/2018,08,2018,08/17/2018,08,2018
BUSINESS SYSTEMS ANALYST ,140000,SUNNYVALE CA,CA,09/21/2018,09,2018,10/01/2018,10,2018
BUSINESS SYSTEMS ANALYST ,156000,SUNNYVALE CA,CA,10/17/2018,10,2018,10/22/2018,10,2018
BUSINESS SYSTEMS ANALYST ,134000,SUNNYVALE CA,CA,10/17/2018,10,2018,10/24/2018,10,2018
BUSINESS SYSTEMS ANALYST ,140000,SUNNYVALE CA,CA,11/07/2018,11,2018,11/14/2018,11,2018
BUSINESS SYSTEMS ANALYST ,157000,SUNNYVALE CA,CA,08/31/2018,08,2018,11/23/2018,11,2018
BUSINESS SYSTEMS INTEGRATION ANALYST ,165000,SUNNYVALE CA,CA,05/03/2018,05,2018,08/12/2018,08,2018
BUSINESS SYSTEMS INTEGRATION ANALYST ,165000,SUNNYVALE CA,CA,06/21/2018,06,2018,08/12/2018,08,2018
BUSINESS SYSTEMS INTEGRATOR ,190000,SUNNYVALE CA,CA,05/08/2018,05,2018,08/24/2018,08,2018
BUSINESS SYSTEMS INTEGRATOR ,125000,SUNNYVALE CA,CA,03/07/2018,03,2018,04/27/2018,04,2018
BUSINESS SYSTEMS INTEGRATOR ,153000,SUNNYVALE CA,CA,06/04/2018,06,2018,09/22/2018,09,2018
BUSINESS SYSTEMS INTEGRATOR ,190000,SUNNYVALE CA,CA,05/16/2018,05,2018,08/24/2018,08,2018
BUSINESS SYSTEMS INTEGRATOR ,190000,SUNNYVALE CA,CA,05/16/2018,05,2018,08/24/2018,08,2018
BUSINESS SYSTEMS INTEGRATOR ,142000,MOUNTAIN VIEW CA,CA,02/07/2018,02,2018,08/07/2018,08,2018
BUSINESS SYSTEMS INTEGRATOR ,117000,SUNNYVALE CA,CA,02/22/2018,02,2018,05/22/2018,05,2018
CLOUD ENGINEERING PRODUCT MANAGER ,135000,MOUNTAIN VIEW CA,CA,08/31/2018,08,2018,09/06/2018,09,2018
CLOUD TECHNICAL ACCOUNT MANAGER ,155000,SUNNYVALE CA,CA,06/29/2018,06,2018,07/06/2018,07,2018
